iso,CEDS_grd_sector,VOC01,VOC02,VOC03,VOC04,VOC05,VOC06,VOC07,VOC08,VOC09,VOC12,VOC13,VOC14,VOC15,VOC16,VOC17,VOC18,VOC19,VOC20,VOC21,VOC22,VOC23,VOC24,VOC25
jey,ENE,0.005171531,0.005144322,0.072405901,0.166307441,0.271519434,0.085311783,0.000842306,0.002755757,0.002967985,0.027978949,0.081700056,0.065998839,0.076186341,0.000668772,0.031830441,0,0,0,0.070816174,0.001087213,0.001651871,0.021377191,0.008277692
jor,ENE,0.012304024,0,0.083134751,0.191660586,0.329822133,0.045915366,0,0,0,0.001009888,0.093806075,0.053640202,0.001067629,0.001589509,0,0,0,0,0.087431865,0.002586585,0.00392996,0.014142556,0.07795887
jpn,ENE,0.018864696,0.004959476,0.065178607,0.155182719,0.244139072,0.089072239,0.006104809,0.002645397,0.002849127,0.028081623,0.073545056,0.063099632,0.07455598,0.002436651,0.030646247,0,0,0,0.070663957,0.00396652,0.00602658,0.036543985,0.021437625
kaz,ENE,0.00035973,0.000656458,0.092516137,0.208447908,0.364431498,0.048759891,0.009044685,0.000353137,0.000380333,0.003580081,0.104391679,0.060035127,0.009780559,3.84E-05,0.0040954,0,0,0,0.090333973,7.64E-05,0.000116099,0.002402038,0.00020049
ken,ENE,0.095408966,0.003046263,0.009655893,0.059274198,0.036794291,0.087001285,0.008526985,0,0,0.019253524,0.010895341,0.030245965,0.039673774,0.012337365,0.013365479,0,0,0,0.056508187,0.020561135,0.031239813,0.116976513,0.349235023
kgz,ENE,0,0.000477504,0.093328831,0.210090234,0.368188482,0.047165153,0.010060073,0.0002535,0.000273023,0.002566685,0.105308679,0.059766247,0.007063554,0,0.002971196,0,0,0,0.091044818,0,0,0.00144202,0
khm,ENE,0.012955442,0.002600819,0.078343321,0.181887369,0.303069673,0.06888655,0.008147511,0.001393064,0.001500348,0.014995922,0.08839961,0.061009241,0.039420309,0.001673976,0.016094928,0,0,0,0.081772814,0.00272387,0.004138545,0.022693775,0.008292914
kir,ENE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kna,ENE,0.064308071,0,0.00651527,0.039021962,0.028937794,0.044658042,0,0,0,0.005279255,0.007351581,0.014977109,0.005581103,0.008314747,0,0,0,0,0.038402114,0.013520591,0.020542674,0.073917323,0.628672365
kor,ENE,0.034558269,0.010128893,0.037055764,0.099360029,0.117965081,0.135619882,0.009466853,0.005425212,0.005843023,0.057089649,0.041812311,0.068670248,0.152121653,0.004468778,0.062672528,0,0,0,0.04838882,0.007265823,0.011039416,0.070108795,0.020938974
